# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-1.5745,0,1.5745,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,18475,4814.3,12.911,0.052158,NaN,181.4,NaN,0.0065919,429219,151.82,0,0.57955,0,0.39616,0.063382,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.003177
0.01,0,0,14.861,0,14.861,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,18475,4814.3,12.911,0.052158,NaN,181.4,NaN,0.0065338,425433,455.47,0,0.58031,0,0.39692,0.063382,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0037414
0.02,7.4328e-4,0.14867,31.308,0.14867,31.308,0,0,0,0,0,0,28.61,-80.6,9.7922,86.141,0,0,0,18470,4809,12.908,0.052152,NaN,181.38,NaN,0.0064903,422605,759.12,2.5033e-5,0.58088,4.2838e-4,0.39749,0.063382,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9035e-5,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0046848
0.03,0.0037958,0.46185,47.765,0.46185,47.765,0,0,0,0,0,0,28.61,-80.6,9.7922,78.062,0,0,0,18465,4803.7,12.906,0.052145,NaN,181.36,NaN,0.0065593,427097,1062.8,6.9067e-4,0.57997,0.011572,0.39658,0.063382,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9133e-5,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0049126
0.04,0.010803,0.93963,64.231,0.93963,64.231,0,0,0,0,0,0,28.61,-80.6,9.7922,66.535,0,0,0,18459,4798.3,12.903,0.052139,NaN,181.34,NaN,0.0069326,451402,1366.4,0.0050267,0.57526,0.075396,0.39187,0.063382,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2031e-4,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0051104
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.023412,1.5821,80.62,1.5821,80.62,0,0,0,0,0,0,28.61,-80.6,9.7922,53.586,0,0,0,18454,4793,12.9,0.052133,NaN,181.32,NaN,0.00783,509831,1668.5,0.019417,0.56519,0.22831,0.3818,0.063383,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0257e-4,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0053682
0.06,0.043265,2.3885,86.862,2.3885,86.862,0,0,0,0,0,0,28.61,-80.6,9.7922,42.346,0,0,0,18448,4787.4,12.898,0.052126,NaN,181.3,NaN,0.0094943,618196,1783.2,0.050778,0.55002,0.40608,0.36662,0.063383,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0582e-4,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0055638
0.07,0.071494,3.2575,86.145,3.2575,86.145,0,0,0,0,0,0,28.61,-80.6,9.7922,34.143,0,0,0,18440,4779.5,12.894,0.052116,NaN,181.27,NaN,0.011563,752885,1769.2,0.098576,0.53542,0.5315,0.35202,0.063384,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1707e-4,15.776,195.47,90,0,NaN,15,1013.2,340.39,0.01,0.0057556
0.08,0.10838,4.1194,85.438,4.1194,85.438,0,0,0,0,0,0,28.61,-80.6,9.7922,28.548,0,0,0,18430,4769.4,12.889,0.052104,NaN,181.24,NaN,0.013777,897051,1755.3,0.15752,0.52317,0.59826,0.33976,0.063385,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2742e-4,15.776,195.47,90,0,NaN,14.999,1013.2,340.39,0.01,0.0059397
0.09,0.15385,4.9742,84.73,4.9742,84.73,0,0,0,0,0,0,28.61,-80.6,9.7922,24.561,0,0,0,18420,4759.3,12.884,0.052092,NaN,181.2,NaN,0.016067,1046145,1741.3,0.22545,0.51294,0.6296,0.32952,0.063387,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3686e-4,15.776,195.47,90,0,NaN,14.999,1013.2,340.39,0.01,0.0061416
0.1,0.20782,5.8219,84.02,5.8219,84.02,0,0,0,0,0,0,28.61,-80.6,9.7922,21.602,0,0,0,18410,4749.2,12.879,0.05208,NaN,181.16,NaN,0.018396,1197773,1727.4,0.30102,0.50431,0.64126,0.32088,0.063389,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.454e-4,15.776,195.47,90,0,NaN,14.999,1013.2,340.39,0.01,0.0063397
0.11,0.27025,6.6625,83.31,6.6625,83.31,0,0,0,0,0,0,28.61,-80.6,9.7922,19.005,0,0,0,18400,4739.1,12.874,0.052068,NaN,181.13,NaN,0.020702,1347912,1713.5,0.38247,0.49706,0.64336,0.31362,0.063391,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5303e-4,15.776,195.47,90,0,NaN,14.998,1013.2,340.39,0.01,0.0065311
0.12,0.34104,7.496,82.598,7.496,82.598,0,0,0,0,0,0,28.61,-80.6,9.7922,16.947,0,0,0,18390,4729.1,12.869,0.052056,NaN,181.09,NaN,0.023022,1498961,1699.5,0.46903,0.49076,0.63798,0.30729,0.063393,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5975e-4,15.776,195.47,90,0,NaN,14.998,1013.2,340.39,0.01,0.0067152
0.13,0.42013,8.3223,81.886,8.3223,81.886,0,0,0,0,0,0,28.61,-80.6,9.7922,15.281,0,0,0,18380,4719,12.864,0.052044,NaN,181.05,NaN,0.025346,1650271,1685.6,0.55837,0.48521,0.62661,0.30173,0.063395,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010656,15.776,195.47,90,0,NaN,14.997,1013.2,340.39,0.01,0.0069952
0.14,0.50745,9.1416,81.172,9.1416,81.172,0,0,0,0,0,0,28.61,-80.6,9.7922,13.905,0,0,0,18370,4708.9,12.859,0.052032,NaN,181.02,NaN,0.027667,1801417,1671.6,0.6496,0.48029,0.61179,0.29679,0.063398,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011704,15.776,195.47,90,0,NaN,14.997,1013.2,340.39,0.01,0.0075489
0.15,0.60292,9.9537,80.458,9.9537,80.458,0,0,0,0,0,0,28.61,-80.6,9.7922,12.752,0,0,0,18360,4698.8,12.855,0.05202,NaN,180.98,NaN,0.029982,1952104,1657.7,0.7436,0.47589,0.59636,0.29237,0.063401,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012744,15.776,195.47,90,0,NaN,14.996,1013.2,340.39,0.01,0.007775
0.16,0.70649,10.759,79.742,10.759,79.742,0,0,0,0,0,0,28.61,-80.6,9.7922,12.035,0,0,0,18350,4688.7,12.85,0.052007,NaN,180.94,NaN,0.032318,2104160,1644.3,0.84641,0.47187,0.58425,0.28833,0.063404,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013775,15.776,195.47,90,0,NaN,14.995,1013.2,340.39,0.0092948,0.0079572
0.16929,0.80993,11.5,79.105,11.5,79.105,0,0,0,0,0,0,28.61,-80.6,9.7922,11.461,0,0,0,18340,4679,12.845,0.051996,NaN,180.91,NaN,0.034474,2244536,1631.7,0.94619,0.46848,0.57398,0.28491,0.063407,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014725,15.776,195.47,90,0,NaN,14.995,1013.2,340.39,0.0086953,0.0081286
0.17799,0.91293,12.189,78.505,12.189,78.505,0,0,0,0,0,0,28.61,-80.6,9.7922,10.991,0,0,0,18331,4669.9,12.84,0.051985,NaN,180.87,NaN,0.036478,2374984,1619.9,1.045,0.46635,0.56618,0.28277,0.06341,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015606,15.776,195.47,90,0,NaN,14.994,1013.1,340.39,0.0082043,0.008355
# Event LAUNCHROD occurred at t=0.18619 seconds
0.18619,1.0156,12.833,77.935,12.833,77.935,0,0,0,0,0,0.23325,28.61,-80.6,9.7922,10.597,0,0,0,18322,4661.4,12.836,0.051975,181.81,180.84,0.061215,0.038356,2497260,1605.6,1.1462,0.46637,0.56169,0.28277,0.063413,0.12019,2.0796,0.12706,-1.7918e-4,0,0,0,0,0,0.0016431,15.776,195.47,90,0,NaN,14.993,1013.1,340.38,0.012306,0.0087614
0.1985,1.1794,13.791,77.457,13.791,77.458,-1.8098e-5,0,1.8098e-5,-180,0.0029766,0.25049,28.61,-80.6,9.7922,10.067,0,0.0030998,3.0855e-7,18312,4651.1,12.831,0.051962,182.37,180.8,0.098957,0.04115,2679119,1600.4,1.3047,0.4664,0.55549,0.28276,0.063418,0.12022,1.9392,0.19147,-3.8565e-4,0,0,0,0,5.1534e-8,0.0017657,15.776,195.47,90,0,NaN,14.992,1013.1,340.38,0.01846,0.0089922
0.21696,1.4472,15.223,78.063,15.223,78.063,-1.1636e-4,0,1.1636e-4,-180,0.0076977,0.25967,28.61,-80.6,9.7922,8.9672,0,0.01162,7.5046e-6,18296,4635.6,12.824,0.051944,183.6,180.75,0.1809,0.045277,2947752,1611.1,1.5416,0.46644,0.54217,0.28275,0.063425,0.12027,1.6597,0.30052,-1.2927e-4,0,0,0,0,5.9823e-7,0.0019491,15.776,195.47,90,-0.037783,NaN,14.991,1013.1,340.38,0.02769,0.0092036
0.24465,1.8987,17.39,78.971,17.39,78.972,-4.3045e-4,0,4.3045e-4,-180,0.015035,0.2697,28.61,-80.6,9.7922,7.5888,0,0.034328,2.1425e-5,18273,4612.4,12.812,0.051916,185.32,180.66,0.29512,0.05154,3355388,1627.1,1.9352,0.46652,0.52529,0.28273,0.063439,0.12035,1.3323,0.39339,1.1425e-4,0,0,0,0,4.029e-6,0.0022265,15.776,195.47,89.999,-0.039305,NaN,14.988,1013,340.38,0.041534,0.0095946
0.28618,2.6893,20.681,80.333,20.681,80.333,-0.0012953,0,0.0012953,-180,0.026798,0.29722,28.61,-80.6,9.7922,6.3234,0,0.089331,6.8622e-6,18238,4577.6,12.795,0.051874,187.09,180.53,0.4153,0.061131,3979474,1648.3,2.6448,0.46665,0.51035,0.2827,0.063462,0.12049,1.0545,0.43801,-4.4764e-4,0,0,0,0,1.9395e-5,0.0026479,15.776,195.47,89.997,-0.016377,NaN,14.983,1012.9,340.38,0.05,0.010144
0.33618,3.824,24.71,81.884,24.71,81.885,-0.0030229,-1.783e-8,0.0030229,-180,0.04264,0.33702,28.61,-80.6,9.7922,5.3877,0,0.18827,3.6615e-5,18192,4531.5,12.772,0.051819,188.53,180.36,0.51767,0.07292,4746476,1671.5,3.6875,0.46685,0.50013,0.28266,0.063496,0.12069,0.8633,0.44714,-3.4705e-5,0,0,0,0,6.0547e-5,0.0031638,15.776,195.47,89.99,-0.012281,NaN,14.975,1012.8,340.37,0.05,0.010323
0.38618,5.162,28.813,83.347,28.813,83.348,-0.005586,-4.5895e-8,0.005586,-180,0.059956,0.34546,28.61,-80.6,9.7922,4.4681,0,0.32448,7.2743e-5,18142,4481.2,12.747,0.051758,190.08,180.18,0.6277,0.084914,5526503,1694.7,4.9084,0.46708,0.49103,0.2826,0.063537,0.12094,0.68719,0.43148,2.4631e-4,0,0,0,0,1.3263e-4,0.0036891,15.776,195.47,89.977,-0.012883,NaN,14.966,1012.6,340.37,0.05,0.010502
0.43618,6.7071,32.989,84.807,32.99,84.808,-0.0090133,-1.0487e-7,0.0090133,-180,0.077076,0.3374,28.61,-80.6,9.7922,3.7575,0,0.49578,7.8381e-5,18092,4431,12.722,0.051698,191.38,179.99,0.72183,0.097138,6321262,1717.8,6.3418,0.46735,0.48487,0.28254,0.063585,0.12123,0.55917,0.40309,3.9348e-4,0,0,0,0,2.3661e-4,0.0042238,15.776,195.47,89.957,-0.010341,NaN,14.956,1012.5,340.36,0.05,0.010671
0.48618,8.4627,37.239,86.263,37.239,86.264,-0.01328,-2.0774e-7,0.01328,-180,0.093327,0.30451,28.61,-80.6,9.7922,3.1616,0,0.70059,3.3973e-6,18042,4380.7,12.696,0.051638,192.54,179.8,0.80749,0.10959,7130177,1741,7.9954,0.46767,0.48042,0.28247,0.06364,0.12156,0.45728,0.36874,3.6763e-6,0,0,0,0,3.7126e-4,0.0047679,15.776,195.47,89.927,-0.0079461,NaN,14.945,1012.3,340.36,0.05,0.010842
0.53618,10.433,41.56,87.713,41.56,87.714,-0.018309,-3.6862e-7,0.018309,-180,0.10749,0.25877,28.61,-80.6,9.7921,2.7393,0,0.93581,-1.3084e-4,17991,4330.4,12.671,0.051577,193.41,179.61,0.87479,0.12226,7953679,1764.1,9.8956,0.46803,0.4778,0.28239,0.063703,0.12194,0.3881,0.3386,-4.3034e-4,0,0,0,0,5.3218e-4,0.0053212,15.776,195.47,89.886,-0.0034148,NaN,14.932,1012,340.35,0.05,0.011015
0.58618,12.621,45.954,88.977,45.955,88.977,-0.023981,-5.7803e-7,0.023981,-180,0.11871,0.17799,28.61,-80.6,9.7921,2.3469,0,1.2018,-1.1094e-5,17941,4280.1,12.645,0.051517,194.26,179.42,0.94058,0.13516,8790722,1784,12.038,0.46844,0.47574,0.28229,0.063775,0.12237,0.32606,0.30571,1.3094e-4,0,0,0,0,7.1825e-4,0.0058838,15.776,195.47,89.833,-9.3825e-4,NaN,14.918,1011.8,340.34,0.05,0.011187
